id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Desert Mirage,Sahara Beats,electronic,energetic,0.88,128,0.75,0.85,0.08
12,Island Groove,Kingston Roots,reggae,uplifting,0.68,95,0.88,0.76,0.25
13,Heartbreak Highway,Dusty Miller,country,sad,0.45,88,0.32,0.58,0.62
14,Oceanic Dreams,Deep Sleep,ambient,peaceful,0.19,55,0.21,0.15,0.94
15,The Grand Finale,Vienna Virtuosos,classical,epic,0.92,170,0.55,0.30,0.89
16,City Cipher,MC Flowstate,hip-hop,thoughtful,0.65,92,0.68,0.80,0.40
17,Summer's End,Golden Hour,indie pop,nostalgic,0.55,115,0.45,0.65,0.55
